category,name,price,product_number,subcategory,subtitle
Гейминг хардуер,"
Silicon Power A55 128GB
",40.36,SLP-SSD-A55-128GB,Вътрешни дискове,Solid State Drive (SSD) SILICON POWER A55
Гейминг хардуер,"
Estillo SSD Bracket
",7.2,SSD-BRACKET,Вътрешни дискове,"Скоби за монтиране на SSD ESTILLO, 2.5"", 3.5"""
Гейминг хардуер,"
Hama Hard Disk Case 2.5"" Neoprene
",9.0,HAMA-95505,Вътрешни дискове,"Калъф за твърд диск HAMA Neoprene 95505, 2.5"", Черен, неопренов"
Гейминг хардуер,"
Thermaltake TtMod Sleeve Cable
",97.91,THER-AC-035-CN1NAN,Захранвания,Комплект оплетени кабели Thermaltake TtMod Black/Blue
Гейминг хардуер,"
Thermaltake TtMod Sleeve Cable
",97.91,THER-AC-033-CN1NAN,Захранвания,Комплект оплетени кабели Thermaltake TtMod Black/Red
Гейминг хардуер,"
Thermaltake TtMod Sleeve Cable
",97.91,THER-AC-034-CN1NAN,Захранвания,Комплект оплетени кабели Thermaltake TtMod Black/Green
Гейминг хардуер,"
Gigabyte P450B 450W
",92.3,GA-PS-P450B,Захранвания,"Захранващ блок Gigabyte P450B, 450W, 80+, Bronze"
Гейминг хардуер,"
FSP Group FFSP180-50FEB
",91.07,FORT-PS-FSP180-50FEB,Захранвания,"Захранващ блок FSP Group FFSP180-50FEB, 180W, Flex ATX"
Гейминг хардуер,"
Kolink Core 600W
",88.12,KOLINK-PS-600-C,Захранвания,Захранващ блок Kolink Core 600W 80 PLUS
Гейминг хардуер,"
Ewent EW3908 600W
",84.35,EWENT-PS-EW3908,Захранвания,Захранващ блок Ewent EW3908
Гейминг хардуер,"
FSP Group FSP450-51ACC
",86.94,FORT-PS-FSP450-51ACC,Захранвания,"Захранващ блок FSP Group FSP450-51ACC, 450W, A-PFC, 120mm"
Гейминг хардуер,"
FSP Group FSP350-51AAC
",79.82,FORT-PS-FSP350-51AAC,Захранвания,"Захранващ блок FSP Group FSP350-51AAC, 350W, 85+. A-PFC, 120mm"
Гейминг хардуер,"
Phanteks Extension Cables Combo
",65.0,PHANTEKS-ACC-ZUAD-753,Захранвания,"Комплект оплетени кабели PHANTEKS, Red"
Гейминг хардуер,"
Phanteks Extension Cables Combo
",65.0,PHANTEKS-ACC-ZUAD-756,Захранвания,"Комплект оплетени кабели PHANTEKS, Blue"
Гейминг хардуер,"
Ewent EW3907 500W
",60.43,EWENT-PS-EW3907,Захранвания,Захранващ блок Ewent EW3907
Гейминг хардуер,"
Spire Pearl 600
",55.76,SP-ATX-600Z-PPFC,Захранвания,Захранващ блок SPIRE PEARL 600
Гейминг хардуер,"
Phanteks Extension Cables Combo
",65.0,PHANTEKS-ACC-ZUAD-754,Захранвания,"Комплект оплетени кабели PHANTEKS, White"
Гейминг хардуер,"
Silicon Power Armor A30
",157.9,SLP-HDD-A30-2TB-W,Външни дискове,Външен хард диск SILICON POWER Armor A30
Гейминг хардуер,"
Silicon Power Armor A66 2TB
",149.59,SLP-HDD-A66-2TB-BL,Външни дискове,"Външен хард диск SILICON POWER Armor A66 , 2.5"", 2TB, USB3.2 Gen 1 Удароустойчив"
Гейминг хардуер,"
Silicon Power Armor A60
",149.59,SLP-HDD-A60-2TB,Външни дискове,Външен хард диск SILICON POWER Armor A60
Гейминг хардуер,"
Western Digital Elements Portable 2TB
",145.63,WD-HDD-ELM2-2TB,Външни дискове,"Външен хард диск Western Digital Elements Portable, 2TB, 2.5"", USB 3.0, Черен"
Гейминг хардуер,"
Seagate Basic 2TB
",141.91,SEAG-HDD-STJL2000400-2TB,Външни дискове,"Външен хард диск Seagate Basic, 2.5"", 1TB, USB3.0, STJL2000400"
Гейминг хардуер,"
Toshiba Canvio Basics
",140.18,TOSH-HDD-CB-2TB-1,Външни дискове,Външен хард диск Toshiba Canvio Basics
Гейминг хардуер,"
Team Group PD400 SSD
",139.45,TEAM-SSD-PD400-480GB,Външни дискове,"Външен Solid State Drive (SSD) Team Group PD400 480GB, USB 3.1 Type-C"
Гейминг хардуер,"
Western Digital My Passport 1TB
",125.68,WD-HDD-PASSPORT-1TB,Външни дискове,"Външен хард диск Western Digital My Passport 1TB 2.5"" HDD Black USB 3.2"
Гейминг хардуер,"
Slicon Power Armor A80
",123.68,SLP-HDD-A80-1TB-BLUE,Външни дискове,Външен хард диск SILICON POWER Armor A80
Гейминг хардуер,"
Intenso Memory Case 2TB
",122.71,INTENSO-HDD-2TB-EX-BK,Външни дискове,"Външен хард диск Intenso, 2.5"", 2TB, USB3.0"
Гейминг хардуер,"
Silicon Power Armor A60
",119.68,SLP-HDD-A60-1TB-USB32,Външни дискове,"Външен хард диск SILICON POWER Armor A60 , 2.5"", 1TB, USB3.2 Gen 1 Удароустойчив"
Гейминг хардуер,"
Silicon Power Armor A80
",122.45,SLP-HDD-A80-1TB,Външни дискове,Външен хард диск SILICON POWER Armor A80
Гейминг хардуер,"
Silicon Power Diamond D30
",116.35,SLP-HDD-D30-1TB,Външни дискове,Външен хард диск SILICON POWER Diamond D30
Гейминг хардуер,"
Silicon Power Armor A30
",116.35,SLP-HDD-A30-1TB-W,Външни дискове,Външен хард диск SILICON POWER Armor A30
Гейминг хардуер,"
Silicon Power Armor A60
",114.55,SLP-HDD-A60-1TB,Външни дискове,Външен хард диск SILICON POWER Armor A60
Гейминг хардуер,"
Western Digital Elements Portable 1TB
",108.5,WD-HDD-ELEMENT-1Tb,Външни дискове,"Външен хард диск Western Digital Elements Portable, 1TB, 2.5"", USB 3.0, Черен"
Гейминг хардуер,"
Silicon Power Armor A66 1TB
",108.04,SLP-HDD-A66-1TB-BK,Външни дискове,"Външен хард диск SILICON POWER Armor A66 , 2.5"", 1TB, USB3.2 Gen 1 Удароустойчив"
Гейминг хардуер,"
Silicon Power Armor A66 1TB
",108.04,SLP-HDD-A66-1TB-BL,Външни дискове,"Външен хард диск SILICON POWER Armor A66 , 2.5"", 1TB, USB3.2 Gen 1 Удароустойчив"
Гейминг хардуер,"
Seagate Basic 1TB
",105.71,SEAG-HDD-STJL1000400-1TB,Външни дискове,"Външен хард диск Seagate Basic, 2.5"", 1TB, USB3.0, STJL1000400"
Гейминг хардуер,"
Silicon Power Armor A30
",103.9,SLP-HDD-A30-1TB-B,Външни дискове,Външен хард диск SILICON POWER Armor A30
Гейминг хардуер,"
Toshiba Canvio Basics
",94.88,TOSH-HDD-CB-1TB,Външни дискове,"Външен хард диск Toshiba Canvio Basics, 2.5"""
Гейминг хардуер,"
Intenso Memory Case 320GB
",53.83,INTENSO-HDD-320GB-EX-BK,Външни дискове,"Външен хард диск Intenso, 2.5"", 320GB, USB3.0"
Гейминг хардуер,"
Thermaltake S100 TG
",118.99,THER-CASE-1Q9-00S1WN,Компютърни кутии,"Кутия THERMALTAKE S100 TG, Micro Tower, Черна CA-1Q9-00S1WN-00"
Гейминг хардуер,"
Kolink Nimbus
",109.0,KOLINK-CASE-GEKL-048,Компютърни кутии,Кутия за компютър Kolink Nimbus
Гейминг хардуер,"
Kolink Inspire К7 АRGB
",105.0,KOLINK-CASE-GEKL-079,Компютърни кутии,"Кутия Kolink Inspire К7 АRGB TG, Mid-tower"
Гейминг хардуер,"
Kolink Inspire K5
",99.0,KOLINK-CASE-GEKL-050,Компютърни кутии,Кутия Kolink Inspire K5 RGB TG
Гейминг хардуер,"
Kolink Inspire К9
",99.0,KOLINK-CASE-GEKL-088,Компютърни кутии,"Кутия Kolink Inspire К9 АRGB TG, Mid-tower"
Гейминг хардуер,"
Thermaltake Versa H17
",85.0,THER-CASE-1J1-00S1NN00,Компютърни кутии,"Кутия THERMALTAKE Versa H17 Black, Micro Tower, Черна CA-1J1-00S1NN-00"
Гейминг хардуер,"
Spire Tricer 1423
",83.68,SP-CASE-SPFR1423B-420W,Компютърни кутии,"Кутия Spire Tricer 1423 с 420W захранване, UBS 3.0, mATX"
Гейминг хардуер,"
LG GP60NW60
",62.98,DVD-RW-LG-GP60NW60,Оптични устройства,"Външно DVD записващо устройство LG GP60NW60, USB 2.0, бяло"
Гейминг хардуер,"
LG GP57EW40
",62.98,DVD-RW-LG-GP57EW40,Оптични устройства,Външно записващо устройство LG GP57EW40
Гейминг хардуер,"
ASUS SDRW-08D2S-U LITE
",65.0,DVD-RW-ASUS-08D2S-U-BLK-G,Оптични устройства,Външно записващо устройство ASUS SDRW-08D2S-U LITE
Гейминг хардуер,"
LITE-ON EBAU108-21
",50.4,DVD-RW-LITE-ON-EBAU108-21,Оптични устройства,Записващо устройство LITE-ON EBAU108-21
Гейминг хардуер,"
LG GH24NSD5
",30.0,DVD-RW-LG-GH24NSD5,Оптични устройства,"Записващо устройство LG GH24NSD5, DVD-RW, за вграждане в компютър, SATA, черен"
Гейминг хардуер,"
LITE-ON iHAS124
",34.8,DVD-RW-LITE-ON-SATA,Оптични устройства,Записващо устройство LITE-ON iHAS124
Гейминг хардуер,"
ASUS DRW-24D5MT
",33.0,DVD-RW-ASUS-DRW-24D5MT,Оптични устройства,"Записващо устройство ASUS DRW-24D5MT, за вграждане"
Гейминг хардуер,"
Cooler Master Hyper TX3 EVO
",52.0,CM-FAN-RR-TX3E-22PK-R1,Охладители,Охладител за процесор Cooler Master Hyper TX3 EVO
Гейминг хардуер,"
Jonsbo CR-1400
",42.0,JONSBO-CPJB-007,Охладители,"Охладител за процесор Jonsbo CR-1400 ARGB, AMD/INTEL"
Гейминг хардуер,"
Arctic Alpine 17 CO
",27.86,ARCTIC-FAN-ACALP00041A,Охладители,"Охладител за процесор Arctic Alpine 17 CO, 1700"
Гейминг хардуер,"
Arctic Alpine 17
",23.4,ARCTIC-FAN-ACALP00040A,Охладители,"Охладител за процесор Arctic Alpine 17, 1700"
Гейминг хардуер,"
Arctic Alpine 23 CO
",19.8,ARCTIC-FAN-ACALP00036A,Охладители,"Охладител за процесор Arctic Alpine 23 CO, AM4"
Гейминг хардуер,"
Arctic Alpine 12
",19.2,ARCTIC-FAN-ACALP00027A,Охладители,Охладител за процесор Arctic Alpine 12
Гейминг хардуер,"
Arctic Alpine 23
",18.0,ARCTIC-FAN-ACALP00035A,Охладители,"Охладител за процесор Arctic Alpine 23, AM4"
Гейминг хардуер,"
Arctic Alpine 12 CO
",19.2,ARCTIC-FAN-ACALP00031A,Охладители,"Охладител за процесор Arctic Alpine 12 CO, 1156/1155/1151/1150/1200"
Гейминг хардуер,"
Noctua Mounting KIT LGA1700
",17.2,NOCTUA-KIT-NM-i17-MP83-CH,Охладители,"Noctua Mounting KIT LGA1700 - NM-i17xx-MP83-chromax.black, Air Tower Coolers - NH-D15 chromax.black, NH-D15S chromax.black"
Гейминг хардуер,"
Noctua Mounting KIT LGA1700
",17.2,NOCTUA-KIT-NM-i17-MP78-CH,Охладители,"Noctua Mounting KIT LGA1700 - NM-i17xx-MP78-chromax.black, Air Tower Coolers - NH-U9S chromax.black, NH-U12S chromax.black"
Гейминг хардуер,"
Noctua Mounting KIT LGA1700
",15.61,NOCTUA-KIT-NM-i17xx-MP83,Охладители,"Noctua Mounting KIT LGA1700 - NM-i17xx-MP83, Air Tower Coolers - NH-D15S, NH-D15, NH-C14S, NH-D9L, NH-L9x65"
Гейминг хардуер,"
Spire Minato
",14.4,SP-FAN-SP530S0,Охладители,"Охладител за процесор SPIRE MINATO , INTEL"
Гейминг хардуер,"
Noctua Mounting KIT LGA1700
",15.61,NOCTUA-KIT-NM-i17xx-MP78,Охладители,"Noctua Mounting KIT LGA1700 - NM-i17xx-MP78, Air Tower Coolers - NH-U9S, NH-U12S redux, NH-U12S, NH-U12A, NH-U14S, NH-L12S"
Гейминг хардуер,"
Thermaltake Intel LGA1700 Upgrade Kit за Air Cooler UX210
",12.0,THER-ACC-O028-ST00BL,Охладители,Брекет Thermaltake Intel LGA1700 Upgrade Kit за Air Cooler UX210
Гейминг хардуер,"
NZXT Kraken X & Z Intel LGA1700 Upgrade Kit
",12.0,NZXT-ACC-KZXSAB0,Охладители,Брекет за охладител за процесор NZXT Kraken X & Z Intel LGA1700 Upgrade Kit
Гейминг хардуер,"
Thermaltake Intel LGA1700 Upgrade Kit за AiO LC - TH Series
",12.0,THER-ACC-O033-ST00BL,Охладители,Брекет Thermaltake Intel LGA1700 Upgrade Kit за AiO LC - TH Series
Гейминг хардуер,"
Corsair LGA1700 Retrofit Kit
",10.0,CRS-ACC-CW-8960091,Охладители,Corsair Hydro Elite Capellix LGA1700 Retrofit Kit
Гейминг хардуер,"
Arctic LGA1700 Mounting Kit - Liquid Freezer II Series
",9.41,ARCTIC-FAN-MPSAS00891A,Охладители,Брекет за охладител за процесор Arctic Liquid Freezer II Intel LGA1700 Upgrade Kit
Гейминг хардуер,"
Cooler Master Intel LGA 1700 Upgrade Kit
",6.0,CM-KIT-603005440-GP,Охладители,"Cooler Master Intel LGA 1700 Бракет, Въздушни Охладители - Hyper 212 EVO V2, MA612 Stealth/ARGB"
Гейминг хардуер,"
Cooler Master Intel LGA 1700 Upgrade Kit
",6.0,CM-KIT-603005870-GP,Охладители,"Cooler Master Intel LGA 1700 Бракет, Водни/AIO Охладители"
Гейминг хардуер,"
Arctic LGA1700 Mounting Kit - Freezer 34 (black)
",6.0,ARCTIC-FAN-MPSAS00892A,Охладители,Брекет за охладител за процесор Arctic Freezer 34 Intel LGA1700 Upgrade Kit
Гейминг хардуер,"
Arctic P14 PWM PST
",17.9,ARCTIC-FAN-ACFAN00197A,Вентилатори,Вентилатор ARCTIC P14 PWM PST White/White
Гейминг хардуер,"
Arctic P14 PWM PST
",17.53,ARCTIC-FAN-ACFAN00221A,Вентилатори,Вентилатор ARCTIC P14 PWM PST White/Transparent
Гейминг хардуер,"
Arctic F12 PWM PST
",16.43,ARCTIC-FAN-ACFAN00198A,Вентилатори,"Вентилатор ARCTIC F12 PWM PST, Бял"
Гейминг хардуер,"
Kolink 1-4 Fan PWM Splitter Cable
",15.88,KOLINK-AC-ZUAD-1172,Вентилатори,Кабел Kolink Y-Splitter 4 Pin за 4 броя вентилатори PGW-AC-KOL-049
Гейминг хардуер,"
Arctic P14 PWM
",15.32,ARCTIC-FAN-ACFAN00223A,Вентилатори,Вентилатор ARCTIC P14 PWM White/Transparent
Гейминг хардуер,"
ARCTIC P12 PWM PST
",14.93,ARCTIC-FAN-ACFAN00120A,Вентилатори,Вентилатор ARCTIC P12 PWM PST
Гейминг хардуер,"
Arctic F14
",13.68,ARCTIC-FAN-ACFAN00216A,Вентилатори,"Вентилатор ARCTIC F14, черен"
Гейминг хардуер,"
ARCTIC F9 PWM PST
",13.8,ARCTIC-FAN-ACFAN00200A,Вентилатори,Вентилатор ARCTIC F9 PWM PST
Гейминг хардуер,"
Arctic Case Fan Hub
",14.4,ARCTIC-AC-ACFAN00175A,Вентилатори,Контролер за вентилатори ARCTIC Case Fan PWM Hub 1 to 10 Port
Гейминг хардуер,"
Arctic F12 PWM
",13.48,ARCTIC-FAN-ACFAN00203A,Вентилатори,Вентилатор ARCTIC F12 PWM
Гейминг хардуер,"
Jonsbo FR-925 ARGB
",15.36,JONSBO-LUJB-003,Вентилатори,Вентилатор Jonsbo FR-925 PWM 92 ARGB
Гейминг хардуер,"
Spire Air Force Black
",10.8,SP-FAN-FD12025N7L3-1,Вентилатори,"Вентилатор SPIRE Air Force, 120 mm, Nano Bearing"
Гейминг хардуер,"
ARCTIC P8 PWM PST
",13.0,ARCTIC-FAN-ACFAN00150A,Вентилатори,"Вентилатор ARCTIC P8 PWM PST, Черен"
Гейминг хардуер,"
Spire Black Force II
",10.8,SP-FAN-FD12025N7M3,Вентилатори,"Вентилатор SPIRE Black Force II, 120 mm, Nano Bearing"
Гейминг хардуер,"
Spire Orion 60x10
",8.28,SP-FAN-FD06010S,Вентилатори,"Вентилатор SPIRE 60x60x10 mm, Sleeve"
Гейминг хардуер,"
Spire X2 Air Force 120
",10.8,SP-FAN-FD12025N7L3,Вентилатори,"Вентилатор SPIRE X2 Air Force, 120 mm, Nano Bearing"
Гейминг хардуер,"
Spire BlueStar 120 LED PWM
",10.8,SP-FAN-FD12025S1L4-B-PWM,Вентилатори,"Вентилатор SPIRE BlueStar, Blue LED, 120 mm, Sleeve"
Гейминг хардуер,"
ARCTIC F9 PWM PST
",10.8,ARCTIC-FAN-ACFAN00214A,Вентилатори,Вентилатор ARCTIC F9 PWM PST Black
Гейминг хардуер,"
Arctic F9
",9.62,ARCTIC-FAN-ACFAN00212A,Вентилатори,Вентилатор ARCTIC F9
Гейминг хардуер,"
ARCTIC F8 PWM PST
",10.2,ARCTIC-FAN-ACFAN00204A,Вентилатори,Вентилатор ARCTIC F8 PWM PST
Гейминг хардуер,"
Spire Orion
",8.28,SP-FAN-FD07015S,Вентилатори,Вентилатор Spire Orion
Гейминг хардуер,"
Spire Orion
",7.2,SP-FAN-FD05010S,Вентилатори,Вентилатор Spire Orion
Гейминг хардуер,"
Spire Orion
",6.5,SP-FAN-FD04010S,Вентилатори,Вентилатор Spire Orion
Гейминг хардуер,"
Spire Orion
",6.0,SP-FAN-FD09025S,Вентилатори,Вентилатор Spire Orion
Гейминг хардуер,"
Spire Orion
",5.94,SP-FAN-FD04020S,Вентилатори,Вентилатор SPIRE Orion
Гейминг хардуер,"
Spire Orion 80x25
",5.4,SP-FAN-FD08025S1L3,Вентилатори,"Вентилатор SPIRE 80x80x25 mm, 3 pin, Sleeve"
Гейминг хардуер,"
Lamptron SP901 A-RGB
",39.53,LAMP-FARGB,RGB аксесоари,"Хъб за вентилатори Lamptron SP901 A-RGB, Hub, 10x 4-pin/3pin"
Гейминг хардуер,"
NZXT HUE 2 LED Strips
",35.4,NZXT-AH-2S825-D1,RGB аксесоари,RGB лента NZXT HUE 2 LED Strips (2x 250mm)
Гейминг хардуер,"
NZXT Sleeved LED Kit White
",30.0,NZXT-CB-LED20-WT,RGB аксесоари,Led лента NZXT Sleeved LED Kit 2m White CB-LED20-WT
Гейминг хардуер,"
NZXT Sleeved LED Kit Blue
",30.0,NZXT-CB-LED20-BU,RGB аксесоари,Led лента NZXT Sleeved LED Kit 2m Blue CB-LED20-BU
Гейминг хардуер,"
Arctic A-RGB Controller
",28.8,ARCTIC-AC-ACFAN00180A,RGB аксесоари,Контролер за вентилатори ARCTIC A-RGB Controller
Гейминг хардуер,"
NZXT Sleeved LED Kit Red
",30.0,NZXT-CB-LED20-RD,RGB аксесоари,Led лента NZXT Sleeved LED Kit 2m Red CB-LED20-RD
Гейминг хардуер,"
Kolink Inspire L1 ARGB LED Strip - 40cm
",31.91,KOLINK-AC-MOLS-212,RGB аксесоари,RGB лента Kolink Inspire L1 ARGB LED Strip (400mm)
Гейминг хардуер,"
NZXT HUE 2 LED Strip
",25.84,NZXT-AH-2SA30-D1,RGB аксесоари,Лента NZXT HUE 2 LED Strip Accessory (2 x 300mm/ 10LED)
Гейминг хардуер,"
NZXT HUE 2 Cable Comb
",25.12,NZXT-AH-2PCCA-01,RGB аксесоари,RGB лента NZXT HUE 2 Cable Comb
Гейминг хардуер,"
NZXT HUE 2 LED Strips
",25.12,NZXT-AH-2S620-D1,RGB аксесоари,RGB лента NZXT HUE 2 LED Strips (2x 200mm)
Гейминг хардуер,"
Cooler Master Wired RGB Controller C10L
",25.0,CM-FAN-RE-C10L-RGB-R1,RGB аксесоари,RGB Контролер Cooler Master Wired RGB Controller C10L
Гейминг хардуер,"
Cooler Master A-RGB LED Small Controller
",39.0,CM-FAN-MFX-ACBN-NNUNN-R1,RGB аксесоари,Контролер за Вентилатори Cooler Master Small Addressable RGB
Гейминг хардуер,"
Cooler Master ARGB 1-to-5 Splitter cable
",25.0,CM-FAN-MFX-AWHN-1NNN5-R1,RGB аксесоари,Сплитер Cooler Master 1-to-5 Addressable RGB MFX-AWHN-1NNN5-R1
Гейминг хардуер,"
NZXT Sleeved LED Kit 1m White
",25.0,NZXT-CB-LED10-WT,RGB аксесоари,Led лента NZXT Sleeved LED Kit 1m White CB-LED10-WT
Гейминг хардуер,"
Cooler Master 1-TO-3 RGB SPLITTER
",23.0,CM-FAN-R4-ACCY-RGBS-R2,RGB аксесоари,"Cooler Master R4-ACCY-RGBS-R2, 1 към 3 RGB сплитер"
Гейминг хардуер,"
Kolink Inspire L1 ARGB Controller
",20.05,KOLINK-AC-ZUSA-268,RGB аксесоари,Контролер Kolink Inspire L1 за ARGB аксесоари
Гейминг хардуер,"
Cooler Master A-RGB 1-to-3 Splitter Cable
",22.0,CM-FAN-MFX-AWHN-3NNN1-R1,RGB аксесоари,"Сплитер Cooler Master 1-to-3 Addressable, RGB"
Гейминг хардуер,"
Hama USB LED Light Strip with Integrated Control Unit
",15.0,HAMA-12344,RGB аксесоари,"Лента с вграден контрол HAMA LED RGB, 1м, USB"
Гейминг хардуер,"
Kolink ARGB 1-2 Splitter Cable - 30cm
",11.45,KOLINK-AC-MOLS-217,RGB аксесоари,Кабел Kolink Y-Splitter 3 Pin за 2x ARGB устройства PGW-AC-KOL-043
Гейминг хардуер,"
Phanteks 3-pin Digital RGB Motherboard Adapter Cable
",8.94,PHANTEKS-ACC-ZUAD-1107,RGB аксесоари,Phanteks 3-pin DRGB адаптер към 3-pin ARGB
Гейминг хардуер,"
Creative Sound Blaster Audigy Fx
",190.32,CREAT-SND-AUD-FX,Звукови карти,Звукова карта Creative Sound Blaster Audigy Fx
Гейминг хардуер,"
Creative SoundBlaster Z SE
",187.74,CREAT-SND-Z-SE,Звукови карти,"Звукова карта Creative SoundBlaster Z SE, PCI-E, 5.1"
Гейминг хардуер,"
Phanteks RGB LED Adapter
",7.86,PHANTEKS-ACC-ZUAD-739,RGB аксесоари,Phanteks RGB LED адаптер 4 Pin
Гейминг хардуер,"
Creative Sound BlasterX G1
",56.54,CREAT-SND-Z-G1,Звукови карти,"Външна звукова карта Creative Sound BlasterX G1, 7.1 HD, USB, 3.5 mm жак"
Гейминг хардуер,"
Estillo USB 7.1
",40.8,EST-SND-7.1USB,Звукови карти,"Звукова карта ESTILLO, USB, 7.1"
Гейминг хардуер,"
Creative Sound Blaster PLAY! 3
",36.83,CREAT-SND-PLAY3-USB,Звукови карти,Звукова карта Creative Sound Blaster PLAY! 3
Гейминг хардуер,"
Estillo USB 5.1
",55.37,EST-SND-5.1USB,Звукови карти,"Звукова карта ESTILLO, USB, 5.1"
Гейминг хардуер,"
Estillo C-Media 8738
",35.35,EST-SND-CMEDIA-6CHA-PCIex,Звукови карти,Звукова карта ESTILLO C-Media 8738
Гейминг хардуер,"
Estillo C-Media 8738
",18.0,EST-SND-CMEDIA-4CHA,Звукови карти,"Звукова карта ESTILLO C-Media 8738, PCI, 4"
Гейминг хардуер,"
HAMA 7.1 Surround
",24.77,HAMA-51620,Звукови карти,Звукова карта HAMA 7.1 Surround
Гейминг хардуер,"
Hama 2.0 Stereo
",17.02,HAMA-51660,Звукови карти,"Звукова карта HAMA 2.0 Stereo, USB 2.0, черен"
Гейминг хардуер,"
Estillo USB 7.1 Mini
",16.8,EST-SND-7.1USB-Mini,Звукови карти,"Звукова карта ESTILLO Mini, USB, 7.1"
Гейминг хардуер,"
Ewent USB Audio Adapter
",13.61,EWENT-SND-EW3751,Звукови карти,"Звукова карта Ewent EW3751, 5.1, USB 2.0, черен"
Гейминг хардуер,"
AVerMedia LIVE Streamer CAP 4K
",198.83,AVER-LS-BU113,Кепчър карти,"Външен кепчър AVerMedia LIVE Streamer CAP 4K, USB-C"
Гейминг хардуер,"
j5create JVA02 Live Capture Adapter HDMI™ to USB-C
",173.14,J5-JVA02,Кепчър карти,"Кепчер адаптер j5create JVA02, HDMI към USB-C, Тype-C с PD(Power delivery)"
Гейминг хардуер,"
AVerMedia DVD EZMaker 7
",129.02,AVER-TV-DVD-EZMAKER-USB,Кепчър карти,"Външен кепчър AVerMedia DVD EZMaker 7, C039"
Гейминг хардуер,"
SoftMaker Office Proffesional 2021
",93.6,SOFT-SM-OFFICE-PRO-2021,Софтуер,Софтуерен офис пакет SoftMaker Office Proffesional 2021 for Windows
Гейминг хардуер,"
Kaspersky Essential
",34.99,SOFT-KAS-ANTIVIR-OEM,Софтуер,Антувирусен софтуер Kaspersky Essential 1 PC лиценз 1 година стикер
Гейминг хардуер,"
EDIMAX EW-7811UTC
",32.94,EDIM-EW-7811UTC,Мрежово оборудване,"Нано адаптер EDIMAX EW-7811UTC, Realtek"
Гейминг хардуер,"
TP-Link TL-WR840N
",32.4,TP-TL-WR840N,Мрежово оборудване,Безжичен рутер TP-LINK TL-WR840N
Гейминг хардуер,"
TP-Link TL-WR820N
",30.0,TP-TL-WR820N,Мрежово оборудване,"Безжичен рутер TP-LINK TL-WR820N 300Mbps, 5dB антени"
Гейминг хардуер,"
TP-Link UE306
",29.0,TP-TL-UE306,Мрежово оборудване,"Мрежова карта Tp-Link UE306, USB 3.0, LAN, 10/100/1000"
Гейминг хардуер,"
EDIMAX EW-7612PIN
",27.12,EDIM-EW-7612PIN,Мрежово оборудване,"Безжичен PCI Express адаптер EDIMAX EW-7612PIN, Realtek"
Гейминг хардуер,"
EDIMAX EW-7722UTN v2
",28.8,EDIM-EW-7722UTN-V2,Мрежово оборудване,"Безжичен мини адаптер EDIMAX EW-7722UTN V2, Realtek"
Гейминг хардуер,"
EDIMAX EU-4208
",25.39,EDIM-EU-4208,Мрежово оборудване,Мрежова карта EDIMAX EU-4208
Гейминг хардуер,"
EDIMAX EN-9260TX-E
",26.24,EDIM-EN-9260TX-E,Мрежово оборудване,"Мрежова карта EDIMAX EN-9260TX-E, low profile"
Гейминг хардуер,"
ASUS USB-N10 NANO B1
",27.0,ASUS-USB-N10-NANO-B1,Мрежово оборудване,"Wireless USB Nano Адаптер ASUS USB-N10 Nano B1, 802.11n 150 Mbps, USB 2.0"
Гейминг хардуер,"
Estillo USB-LAN Gigabit
",25.55,EST-USB-10-100-1000LAN,Мрежово оборудване,Мрежова карта ESTILLO USB 2.0 - LAN 10/100/1000
Гейминг хардуер,"
Estillo 10/100 Mbps USB-C 2.0 to RJ45
",25.24,EST-USBC-10-100LAN,Мрежово оборудване,"Мрежови адаптер Estillo 10/100 Mbps, USB-C 2.0 към RJ45, Бял"
Гейминг хардуер,"
EDIMAX EW-7722UTN V3
",23.99,EDIM-EW-7722UTN-V3,Мрежово оборудване,"Безжичен мини адаптер EDIMAX EW-7722UTN V3, USB, Realtek, 2.4Ghz, 802.11n/g/b"
Гейминг хардуер,"
Hama Bluetooth USB Adapter
",24.05,HAMA-53188,Мрежово оборудване,"Адаптер Bluetooth USB HAMA 53188, version 4.0 C1 + EDR"
Гейминг хардуер,"
TP-Link UE200
",21.6,TP-TL-UE200,Мрежово оборудване,Мрежова карта Tp-Link UE200 USB 2.0 - LAN 10/1000
Гейминг хардуер,"
D-Link DWA-131
",21.34,D-LINK-DWA-131,Мрежово оборудване,Безжичен адаптерr D-LINK DWA-131 Nano
Гейминг хардуер,"
Estillo 10/100/1000 PCI-ex Realtek
",21.6,EST-NET-10-100-1000,Мрежово оборудване,Мрежова карта ESTILLO 10/100/1000 PCI-ex Realtek
Гейминг хардуер,"
EDIMAX EN-9235TX-32
",21.6,EDIM-EN-9235TX-32,Мрежово оборудване,"Мрежова карта EDIMAX EN-9235TX-32, low profile"
Гейминг хардуер,"
TP-Link TL-WN722N
",20.4,TP-TL-WN722N,Мрежово оборудване,Безжичен адаптер TP LINK TL-WN722N
Гейминг хардуер,"
EDIMAX EW-7811UN
",19.38,EDIM-EW-7811UN,Мрежово оборудване,Безжичен нано адаптер EDIMAX EW-7811UN
Гейминг хардуер,"
D-Link DWA-121
",17.6,D-LINK-DWA-121,Мрежово оборудване,Безжичен адаптер D-Link DWA-121 Wireless
